CN,袋子,卡片,吧唧,明信片,文件夹
bokuto,2,1,1,1,1
百二,1,1,1,1,1
Tsuki,,,,,1
leafy,,,,,1
Eggy,1,,,,
楚谨铮,,1,,,
付付,,,1,1,
Azaya,,1,,,
Amm,,,,1,
耶耶野业,,,1,,
